text,label
Should I apply an organic manure treatment to my brinjal?,DECISION
how does excess rainfall affect okra?,INFORMATION
"For a farmer in Wayanad, should I apply an organic manure treatment to my coconut?",DECISION
"For my farm, how often is pepper usually irrigated during vegetative stage?",INFORMATION
"For a farmer in Wayanad, what are the important growth stages of pepper?",INFORMATION
"On my farm, what soil type is suitable for growing brinjal?",INFORMATION
"For my farm, what causes leaf curling in banana?",INFORMATION
"In my field, what should I do if my pepper is showing yellow leaves?",DECISION
"For a farmer in Wayanad, what are the signs of nitrogen deficiency in rice?",INFORMATION
"For my farm, should I change my irrigation schedule for rice?",DECISION
"For a farmer in Wayanad, should I use mulch in my tapioca field?",DECISION
How often is banana usually irrigated during vegetative stage?,INFORMATION
"For my crop, what nutrients does rice need during fruiting stage?",INFORMATION
"On my farm, what soil type is suitable for growing rice?",INFORMATION
Should I irrigate my rice today?,DECISION
"For a farmer in Wayanad, what fertilizer is suitable for chilli?",INFORMATION
"In Kerala, what soil type is suitable for growing tapioca?",INFORMATION
"On my farm, what are common irrigation methods for okra?",INFORMATION
"On my farm, should I take action immediately for my tomato problem?",DECISION
"For my crop, what would be the better option for my banana under the current conditions?",DECISION
"In my field, what causes yellow leaves in brinjal?",INFORMATION
"In my field, what are the common pests that affect coconut?",INFORMATION
"For a farmer in Wayanad, should I apply an organic manure treatment to my rice?",DECISION
What is the ideal soil pH for pineapple cultivation?,INFORMATION
"In my field, what fertilizer is suitable for coconut?",INFORMATION
How can I improve drainage in a field growing pepper?,INFORMATION
Should I take action immediately for my banana problem?,DECISION
"In my field, what soil type is suitable for growing coconut?",INFORMATION
"For a farmer in Wayanad, what causes leaf curling in rice?",INFORMATION
"On my farm, what should I do about my coconut after heavy rainfall?",DECISION
"On my farm, what are the common pests that affect pineapple?",INFORMATION
"For my crop, what are the signs of nitrogen deficiency in pineapple?",INFORMATION
what are the benefits of organic manure for tomato?,INFORMATION
What nutrients does pineapple need during flowering stage?,INFORMATION
"For my farm, how can I improve drainage in a field growing tomato?",INFORMATION
"For my crop, what is the ideal soil pH for coconut cultivation?",INFORMATION
What precautions should I take during heavy rainfall for pepper?,INFORMATION
"For my crop, what are the common pests that affect okra?",INFORMATION
what should I do about my brinjal after heavy rainfall?,DECISION
"For a farmer in Wayanad, what nutrients does coconut need during flowering stage?",INFORMATION
"In my field, what is the best time to plant coconut in Kerala?",INFORMATION
what should I do if my rice is showing yellow leaves?,DECISION
"On my farm, how can I improve drainage in a field growing pepper?",INFORMATION
"For my farm, which option is better for improving my rice yield?",DECISION
"In my field, which fertilizer should I choose for my tapioca?",DECISION
"For my crop, how does excess rainfall affect pepper?",INFORMATION
"In Kerala, which fertilizer should I choose for my chilli?",DECISION
"For my farm, should I change my irrigation schedule for pineapple?",DECISION
what are the signs of nitrogen deficiency in chilli?,INFORMATION
"On my farm, should I harvest my chilli now or wait?",DECISION
"For my farm, how can I improve drainage in a field growing pineapple?",INFORMATION
"For my crop, which option is better for improving my brinjal yield?",DECISION
What are the benefits of mulching for tomato?,INFORMATION
Should I take action immediately for my coconut problem?,DECISION
Which fertilizer should I choose for my tomato?,DECISION
"In my field, what are common irrigation methods for banana?",INFORMATION
"For a farmer in Wayanad, should I harvest my rice now or wait?",DECISION
"For a farmer in Wayanad, what are the common diseases affecting pepper?",INFORMATION
"In my field, how often is rice usually irrigated during fruiting stage?",INFORMATION
"In Kerala, should I reduce irrigation because of the rain?",DECISION
should I improve drainage in my rice field?,DECISION
"On my farm, how can I improve drainage in a field growing tapioca?",INFORMATION
"For my crop, which irrigation method should I use for my rice?",DECISION
What soil type is suitable for growing pineapple?,INFORMATION
Should I apply fertilizer to my tapioca now?,DECISION
"For my crop, should I take action immediately for my tomato problem?",DECISION
"In my field, should I change my irrigation schedule for banana?",DECISION
should I use mulch in my chilli field?,DECISION
"For a farmer in Wayanad, should I increase irrigation because the soil is dry?",DECISION
